,LandCover,Wind,DEM,NDVI,Clouds,Temp,Eva,Eva_plant,AirTempCategory
405,40.0,4.4049315,39.0,0.69,0.47390857,27.549194,-0.0034692695,-4.3802385e-05,0
406,40.0,4.1089597,49.0,0.77,0.48037905,27.544739,-0.0035454307,-1.4571224e-05,0
1328,40.0,3.9216392,14.0,0.78,0.5388861,27.01535,-0.004008948,-1.7204662e-05,0
1395,50.0,3.2844234,45.0,0.77,0.5953922,26.77652,-0.0039757793,4.656613e-10,0
1396,11.0,2.9661868,79.0,0.78,0.63638484,26.358978,-0.004066729,4.656613e-10,0
1430,120.0,1.2026738,78.0,0.66,0.49115014,27.326843,-0.0035720502,-1.0529095e-06,0
2278,50.0,1.1559179,1578.0,0.71,0.67268705,20.164154,-0.0036441975,4.656613e-10,0
2406,50.0,1.1677924,1168.0,0.72,0.72497046,18.945892,-0.0034330375,4.656613e-10,0
2416,50.0,1.2998962,1234.0,0.76,0.62921274,21.363739,-0.0035899023,4.656613e-10,0
2491,50.0,1.8136172,771.0,0.78,0.5632088,25.299774,-0.003021492,4.656613e-10,0
2725,50.0,1.099514,1587.0,0.78,0.7549711,19.48819,-0.0033720874,-2.9845163e-05,0
2738,40.0,1.3156301,2765.0,0.7,0.659928,16.626038,-0.0032396237,4.656613e-10,0
2794,50.0,1.0825928,1444.0,0.78,0.70374006,18.863007,-0.0034309248,-8.8654415e-06,0
2797,120.0,1.13395,807.0,0.74,0.6768058,20.496582,-0.0033380736,-5.26641e-06,0
2819,50.0,1.6938331,1138.0,0.75,0.5765265,23.666168,-0.0038603223,4.656613e-10,0
3076,50.0,1.397861,1079.0,0.73,0.6133744,19.322845,-0.0028067403,-2.8963161e-06,0
3128,30.0,1.077843,493.0,0.65,0.6007583,22.89215,-0.0033386017,-3.730657e-05,0
3203,40.0,1.3666904,2359.0,0.7,0.6523921,16.692017,-0.003028675,-8.689879e-06,0
3214,50.0,1.4913727,1174.0,0.77,0.5804374,23.958069,-0.0038984558,-2.194066e-06,0
3340,50.0,1.3619406,1826.0,0.63,0.6299404,18.846954,-0.003099977,-0.00033997637,0
3386,10.0,1.07339,2012.0,0.71,0.72589296,18.211517,-0.0037946186,4.656613e-10,0
3398,60.0,1.2961855,1692.0,0.39,0.6590965,17.685272,-0.0034045167,-1.4918159e-06,0
3529,100.0,1.256109,1489.0,0.6,0.65154755,17.825623,-0.0034471923,-2.2818472e-06,0
3536,30.0,1.375151,2006.0,0.69,0.67136174,17.702179,-0.0032105746,-0.0003735088,0
3598,30.0,1.3790102,2475.0,0.79,0.68487436,16.873352,-0.0031001884,-2.3696284e-06,0
3606,50.0,1.3126614,1955.0,0.76,0.60209656,20.937744,-0.0032624404,-7.895657e-07,0
3665,10.0,1.4011265,2121.0,0.76,0.6842377,16.472778,-0.0029366687,-8.7315605e-08,0
3720,40.0,1.0252982,1262.0,0.8,0.6266661,20.857971,-0.0035136354,4.656613e-10,0
3727,50.0,1.2893577,2592.0,0.81,0.6623707,17.928558,-0.0033570875,-6.1400317e-07,0
3869,50.0,1.3419024,1120.0,0.81,0.6045782,21.733582,-0.003213321,4.656613e-10,0
3981,50.0,1.0502348,1845.0,0.77,0.73620933,19.187408,-0.0038246184,-2.817732e-05,0
3997,50.0,1.4557493,2368.0,0.78,0.66129225,16.869354,-0.003364376,4.656613e-10,0
4056,50.0,1.1045606,737.0,0.7,0.652548,21.253235,-0.0032836727,4.656613e-10,0
4187,30.0,1.0037757,805.0,0.72,0.65453595,18.777893,-0.0033236018,4.656613e-10,0
4249,50.0,0.9472234,1225.0,0.8,0.7243858,17.225403,-0.0034985298,4.656613e-10,0
4317,40.0,0.9580589,2469.0,0.73,0.7006478,16.424194,-0.0034661007,4.656613e-10,0
6050,120.0,1.3073179,78.0,0.67,0.5252955,29.131104,-0.0031788847,-1.1406908e-06,0
7026,50.0,1.1199975,1168.0,0.68,0.7161353,19.244873,-0.0035383534,4.656613e-10,0
7111,50.0,1.69413,771.0,0.79,0.64055556,25.825592,-0.0033667001,4.656613e-10,0
7345,50.0,1.0358369,1587.0,0.77,0.7836205,19.523834,-0.003495361,-3.0020727e-05,0
7823,40.0,1.2381488,2359.0,0.65,0.7078328,16.736572,-0.0033435666,-8.426536e-06,0
8018,60.0,1.1905024,1692.0,0.36,0.6989717,17.752106,-0.0036189512,-1.4918159e-06,0
8218,30.0,1.2709522,2475.0,0.72,0.7187729,16.855103,-0.0032968768,-2.4574097e-06,0
8489,50.0,1.3022712,1120.0,0.85,0.689201,22.311554,-0.00318142,4.656613e-10,0
8676,50.0,1.0275247,737.0,0.57,0.68490034,21.858795,-0.0033878267,4.656613e-10,0
8807,30.0,0.930896,805.0,0.68,0.68912303,19.308594,-0.0034961002,4.656613e-10,0
9645,40.0,3.7032967,39.0,0.6,0.58740157,28.452454,-0.0024328,-4.4065728e-05,0
9646,40.0,3.5149374,49.0,0.6,0.59244287,28.742981,-0.0025615664,-1.46590055e-05,0
10568,40.0,3.1123915,14.0,0.77,0.6176361,27.931976,-0.003496206,-1.8696943e-05,0
10635,50.0,2.6103966,45.0,0.68,0.6555884,27.730988,-0.0038045482,4.656613e-10,0
10636,11.0,2.3788438,79.0,0.63,0.68343216,27.308563,-0.0041836645,4.656613e-10,0
10670,120.0,1.2893577,78.0,0.66,0.61189324,28.489868,-0.0037365207,-1.1406908e-06,0
11518,50.0,1.1110916,1578.0,0.76,0.7143683,20.529114,-0.0037590205,4.656613e-10,0
11646,50.0,1.0943189,1168.0,0.65,0.7373657,19.266266,-0.0035508182,4.656613e-10,1
11656,50.0,1.2326568,1234.0,0.75,0.7145632,21.726013,-0.0037681048,4.656613e-10,0
11731,50.0,1.6040322,771.0,0.74,0.68816155,25.494507,-0.0034303966,4.656613e-10,0
11965,50.0,1.0618124,1587.0,0.75,0.817415,19.588898,-0.0036430357,-3.440979e-05,0
11978,40.0,1.214103,2765.0,0.64,0.72077376,16.68576,-0.0034352557,4.656613e-10,0
12034,50.0,1.008674,1444.0,0.76,0.7696271,18.921356,-0.0037126476,-1.0182161e-05,0
