Fecha;CodigoEstacion;Latitud;Longitud;Altitud;Valor
01/01/2001;11025010;5.88;-76.08;2018;21.11612903
01/02/2001;11025010;5.88;-76.08;2018;20.71851852
01/03/2001;11025010;5.88;-76.08;2018;21.05333333
01/04/2001;11025010;5.88;-76.08;2018;21.03571429
01/05/2001;11025010;5.88;-76.08;2018;21.20689655
01/06/2001;11025010;5.88;-76.08;2018;21.81333333
01/07/2001;11025010;5.88;-76.08;2018;21.19259259
01/08/2001;11025010;5.88;-76.08;2018;22.72258065
01/09/2001;11025010;5.88;-76.08;2018;21.4
01/10/2001;11025010;5.88;-76.08;2018;20.88
01/11/2001;11025010;5.88;-76.08;2018;20.87142857
01/12/2001;11025010;5.88;-76.08;2018;21.34193548
01/01/2002;11025010;5.88;-76.08;2018;22.50666667
01/02/2002;11025010;5.88;-76.08;2018;22.19285714
01/03/2002;11025010;5.88;-76.08;2018;21.59333333
01/04/2002;11025010;5.88;-76.08;2018;21.42758621
01/05/2002;11025010;5.88;-76.08;2018;21.60666667
01/06/2002;11025010;5.88;-76.08;2018;22.42608696
01/07/2002;11025010;5.88;-76.08;2018;21.68
01/08/2002;11025010;5.88;-76.08;2018;21.92142857
01/09/2002;11025010;5.88;-76.08;2018;21.26428571
01/10/2002;11025010;5.88;-76.08;2018;20.92857143
01/11/2002;11025010;5.88;-76.08;2018;21.96923077
01/12/2002;11025010;5.88;-76.08;2018;21.63703704
01/01/2003;11025010;5.88;-76.08;2018;22.15862069
01/02/2003;11025010;5.88;-76.08;2018;22.00769231
01/03/2003;11025010;5.88;-76.08;2018;21.0516129
01/04/2003;11025010;5.88;-76.08;2018;21.82758621
01/05/2003;11025010;5.88;-76.08;2018;21.71333333
01/06/2003;11025010;5.88;-76.08;2018;21.36
01/07/2003;11025010;5.88;-76.08;2018;22.04666667
01/08/2003;11025010;5.88;-76.08;2018;22.05806452
01/09/2003;11025010;5.88;-76.08;2018;21.28571429
01/10/2003;11025010;5.88;-76.08;2018;20.89333333
01/11/2003;11025010;5.88;-76.08;2018;21.41481481
01/12/2003;11025010;5.88;-76.08;2018;21.22857143
01/01/2004;11025010;5.88;-76.08;2018;21.61935484
01/02/2004;11025010;5.88;-76.08;2018;21.62068966
01/03/2004;11025010;5.88;-76.08;2018;22.25333333
01/04/2004;11025010;5.88;-76.08;2018;20.84285714
01/05/2004;11025010;5.88;-76.08;2018;20.66666667
01/06/2004;11025010;5.88;-76.08;2018;21.80740741
01/07/2004;11025010;5.88;-76.08;2018;21.3483871
01/08/2004;11025010;5.88;-76.08;2018;21.42857143
01/09/2004;11025010;5.88;-76.08;2018;21.10666667
01/10/2004;11025010;5.88;-76.08;2018;20.93793103
01/11/2004;11025010;5.88;-76.08;2018;21.09333333
01/12/2004;11025010;5.88;-76.08;2018;21.15172414
01/01/2005;11025010;5.88;-76.08;2018;21.08148148
01/02/2005;11025010;5.88;-76.08;2018;21.73076923
01/03/2005;11025010;5.88;-76.08;2018;21.57333333
01/04/2005;11025010;5.88;-76.08;2018;21.63703704
01/05/2005;11025010;5.88;-76.08;2018;21.56666667
01/06/2005;11025010;5.88;-76.08;2018;21.53103448
01/07/2005;11025010;5.88;-76.08;2018;22.57931034
01/08/2005;11025010;5.88;-76.08;2018;21.41935484
01/09/2005;11025010;5.88;-76.08;2018;21.41428571
01/10/2005;11025010;5.88;-76.08;2018;20.76666667
01/11/2005;11025010;5.88;-76.08;2018;20.72857143
01/12/2005;11025010;5.88;-76.08;2018;21.04827586
01/01/2006;11025010;5.88;-76.08;2018;22.01290323
01/02/2006;11025010;5.88;-76.08;2018;22.12142857
01/03/2006;11025010;5.88;-76.08;2018;21.60689655
01/04/2006;11025010;5.88;-76.08;2018;21.32413793
01/05/2006;11025010;5.88;-76.08;2018;21.63225806
01/06/2006;11025010;5.88;-76.08;2018;21.89285714
01/07/2006;11025010;5.88;-76.08;2018;21.26428571
01/08/2006;11025010;5.88;-76.08;2018;21.84
01/09/2006;11025010;5.88;-76.08;2018;21.87333333
01/10/2006;11025010;5.88;-76.08;2018;21.13793103
01/11/2006;11025010;5.88;-76.08;2018;20.8
01/12/2006;11025010;5.88;-76.08;2018;21.71851852
01/01/2007;11025010;5.88;-76.08;2018;21.75769231
01/02/2007;11025010;5.88;-76.08;2018;21.9826087
01/03/2007;11025010;5.88;-76.08;2018;20.83809524
01/04/2007;11025010;5.88;-76.08;2018;21.256
01/05/2007;11025010;5.88;-76.08;2018;20.91538462
01/06/2007;11025010;5.88;-76.08;2018;21.57142857
01/07/2007;11025010;5.88;-76.08;2018;21.13333333
01/08/2007;11025010;5.88;-76.08;2018;21.62222222
01/09/2007;11025010;5.88;-76.08;2018;20
01/10/2007;11025010;5.88;-76.08;2018;20.31851852
01/11/2007;11025010;5.88;-76.08;2018;21.15384615
01/12/2007;11025010;5.88;-76.08;2018;20.556
01/01/2008;11025010;5.88;-76.08;2018;20.51034483
01/02/2008;11025010;5.88;-76.08;2018;20.21428571
01/03/2008;11025010;5.88;-76.08;2018;20.56551724
01/04/2008;11025010;5.88;-76.08;2018;20.90666667
01/05/2008;11025010;5.88;-76.08;2018;20.3483871
01/06/2008;11025010;5.88;-76.08;2018;21.07586207
01/07/2008;11025010;5.88;-76.08;2018;20.81290323
01/08/2008;11025010;5.88;-76.08;2018;20.36551724
01/09/2008;11025010;5.88;-76.08;2018;20.77857143
01/10/2008;11025010;5.88;-76.08;2018;20.5862069
01/11/2008;11025010;5.88;-76.08;2018;19.74666667
01/12/2008;11025010;5.88;-76.08;2018;20.10344828
01/01/2009;11025010;5.88;-76.08;2018;20.64137931
01/02/2009;11025010;5.88;-76.08;2018;21.28
01/03/2009;11025010;5.88;-76.08;2018;20.77857143
01/04/2009;11025010;5.88;-76.08;2018;21.51333333
01/05/2009;11025010;5.88;-76.08;2018;21.31724138
01/06/2009;11025010;5.88;-76.08;2018;21.24285714
01/07/2009;11025010;5.88;-76.08;2018;22.43333333
01/08/2009;11025010;5.88;-76.08;2018;21.56666667
01/09/2009;11025010;5.88;-76.08;2018;21.75
01/10/2009;11025010;5.88;-76.08;2018;21.10666667
01/11/2009;11025010;5.88;-76.08;2018;21.48275862
01/12/2009;11025010;5.88;-76.08;2018;21.16666667
01/01/2010;11025010;5.88;-76.08;2018;22.29677419
01/02/2010;11025010;5.88;-76.08;2018;21.97777778
01/03/2010;11025010;5.88;-76.08;2018;22.02068966
01/04/2010;11025010;5.88;-76.08;2018;21.76551724
01/05/2010;11025010;5.88;-76.08;2018;21.62580645
01/06/2010;11025010;5.88;-76.08;2018;20.90666667
01/07/2010;11025010;5.88;-76.08;2018;20.61612903
01/08/2010;11025010;5.88;-76.08;2018;21.09677419
01/09/2010;11025010;5.88;-76.08;2018;20.91333333
01/10/2010;11025010;5.88;-76.08;2018;20.83225806
01/11/2010;11025010;5.88;-76.08;2018;20.37931034
01/12/2010;11025010;5.88;-76.08;2018;20.62
01/01/2011;11025010;5.88;-76.08;2018;21.04137931
01/02/2011;11025010;5.88;-76.08;2018;20.45
01/03/2011;11025010;5.88;-76.08;2018;20.6
01/04/2011;11025010;5.88;-76.08;2018;20.52
01/05/2011;11025010;5.88;-76.08;2018;21.01935484
01/06/2011;11025010;5.88;-76.08;2018;21.37241379
01/07/2011;11025010;5.88;-76.08;2018;21
01/08/2011;11025010;5.88;-76.08;2018;21.18064516
01/09/2011;11025010;5.88;-76.08;2018;21.54666667
01/10/2011;11025010;5.88;-76.08;2018;20.57777778
01/11/2011;11025010;5.88;-76.08;2018;20.18666667
01/12/2011;11025010;5.88;-76.08;2018;20.45185185
01/01/2012;11025010;5.88;-76.08;2018;21.01935484
01/02/2012;11025010;5.88;-76.08;2018;21.28571429
01/03/2012;11025010;5.88;-76.08;2018;21.46451613
01/04/2012;11025010;5.88;-76.08;2018;21
01/05/2012;11025010;5.88;-76.08;2018;21.42758621
01/06/2012;11025010;5.88;-76.08;2018;21.02962963
01/07/2012;11025010;5.88;-76.08;2018;21.92903226
01/08/2012;11025010;5.88;-76.08;2018;21.54193548
01/09/2012;11025010;5.88;-76.08;2018;21.53103448
01/10/2012;11025010;5.88;-76.08;2018;21.0962963
01/11/2012;11025010;5.88;-76.08;2018;20.85333333
01/12/2012;11025010;5.88;-76.08;2018;21.02758621
01/01/2013;11025010;5.88;-76.08;2018;21.048
01/02/2013;11025010;5.88;-76.08;2018;21.51538462
01/03/2013;11025010;5.88;-76.08;2018;21.85925926
01/04/2013;11025010;5.88;-76.08;2018;21.888
01/05/2013;11025010;5.88;-76.08;2018;20.97931034
01/06/2013;11025010;5.88;-76.08;2018;22.216
01/07/2013;11025010;5.88;-76.08;2018;22.44444444
01/08/2013;11025010;5.88;-76.08;2018;21.60869565
01/09/2013;11025010;5.88;-76.08;2018;21.9826087
01/10/2013;11025010;5.88;-76.08;2018;21.20714286
01/11/2013;11025010;5.88;-76.08;2018;21.43076923
01/12/2013;11025010;5.88;-76.08;2018;21.31538462
01/01/2014;11025010;5.88;-76.08;2018;22.08695652
01/02/2014;11025010;5.88;-76.08;2018;21.075
01/03/2014;11025010;5.88;-76.08;2018;21.94814815
01/04/2014;11025010;5.88;-76.08;2018;22.03809524
01/05/2014;11025010;5.88;-76.08;2018;21.85384615
01/06/2014;11025010;5.88;-76.08;2018;22.39230769
01/07/2014;11025010;5.88;-76.08;2018;22.92592593
01/08/2014;11025010;5.88;-76.08;2018;21.84285714
01/09/2014;11025010;5.88;-76.08;2018;21.675
01/10/2014;11025010;5.88;-76.08;2018;22.15
01/11/2014;11025010;5.88;-76.08;2018;21.86666667
01/12/2014;11025010;5.88;-76.08;2018;21.3
01/01/2001;11075020;6.3;-76.14;1833;22.06451613
01/02/2001;11075020;6.3;-76.14;1833;22.27857143
01/03/2001;11075020;6.3;-76.14;1833;22.39354839
01/04/2001;11075020;6.3;-76.14;1833;22.4137931
01/05/2001;11075020;6.3;-76.14;1833;22.30967742
01/06/2001;11075020;6.3;-76.14;1833;22.94
01/07/2001;11075020;6.3;-76.14;1833;22.77419355
01/08/2001;11075020;6.3;-76.14;1833;23.67741935
01/09/2001;11075020;6.3;-76.14;1833;22.23333333
01/10/2001;11075020;6.3;-76.14;1833;22.32857143
01/11/2001;11075020;6.3;-76.14;1833;21.91333333
01/12/2001;11075020;6.3;-76.14;1833;22.30967742
01/01/2002;11075020;6.3;-76.14;1833;23.50967742
01/02/2002;11075020;6.3;-76.14;1833;23.02857143
01/03/2002;11075020;6.3;-76.14;1833;23.13548387
01/04/2002;11075020;6.3;-76.14;1833;22.94285714
01/05/2002;11075020;6.3;-76.14;1833;23.01935484
01/06/2002;11075020;6.3;-76.14;1833;23.0137931
01/07/2002;11075020;6.3;-76.14;1833;22.52903226
01/08/2002;11075020;6.3;-76.14;1833;23.3483871
01/09/2002;11075020;6.3;-76.14;1833;22.64
01/10/2002;11075020;6.3;-76.14;1833;22.45806452
01/11/2002;11075020;6.3;-76.14;1833;23.19310345
01/12/2002;11075020;6.3;-76.14;1833;22.5
01/01/2003;11075020;6.3;-76.14;1833;23.65806452
01/02/2003;11075020;6.3;-76.14;1833;22.77857143
01/03/2003;11075020;6.3;-76.14;1833;22.88387097
01/04/2003;11075020;6.3;-76.14;1833;22.92666667
01/05/2003;11075020;6.3;-76.14;1833;22.96774194
01/06/2003;11075020;6.3;-76.14;1833;22.50666667
01/07/2003;11075020;6.3;-76.14;1833;23.09677419
01/08/2003;11075020;6.3;-76.14;1833;22.93333333
01/09/2003;11075020;6.3;-76.14;1833;22.77333333
01/10/2003;11075020;6.3;-76.14;1833;22.03225806
01/11/2003;11075020;6.3;-76.14;1833;22.74666667
01/12/2003;11075020;6.3;-76.14;1833;22.22068966
01/01/2004;11075020;6.3;-76.14;1833;22.67741935
01/02/2004;11075020;6.3;-76.14;1833;23.40689655
01/03/2004;11075020;6.3;-76.14;1833;23.93333333
01/04/2004;11075020;6.3;-76.14;1833;22.84
01/05/2004;11075020;6.3;-76.14;1833;22.45806452
01/06/2004;11075020;6.3;-76.14;1833;23.06
01/07/2004;11075020;6.3;-76.14;1833;22.46206897
01/08/2004;11075020;6.3;-76.14;1833;22.63870968
01/09/2004;11075020;6.3;-76.14;1833;22.46666667
01/10/2004;11075020;6.3;-76.14;1833;21.79354839
01/11/2004;11075020;6.3;-76.14;1833;22.47333333
01/12/2004;11075020;6.3;-76.14;1833;22.61290323
01/01/2005;11075020;6.3;-76.14;1833;22.55483871
01/02/2005;11075020;6.3;-76.14;1833;23.01481481
01/03/2005;11075020;6.3;-76.14;1833;22.85806452
01/04/2005;11075020;6.3;-76.14;1833;23.04
01/05/2005;11075020;6.3;-76.14;1833;22.73548387
01/06/2005;11075020;6.3;-76.14;1833;22.76
01/07/2005;11075020;6.3;-76.14;1833;23.19354839
01/08/2005;11075020;6.3;-76.14;1833;22.66451613
01/09/2005;11075020;6.3;-76.14;1833;22.54
01/10/2005;11075020;6.3;-76.14;1833;22.18064516
01/11/2005;11075020;6.3;-76.14;1833;21.72666667
01/12/2005;11075020;6.3;-76.14;1833;21.96774194
01/01/2006;11075020;6.3;-76.14;1833;22.85806452
